,scopus_id,title,publication_name,issn,isbn,eissn,volume,page_range,cover_date,doi,citation_count,affiliation,aggregation_type,subtype_description,authors,full_text,year
0,85180519543,"In-silico DFT studies and molecular docking evaluation of benzimidazo methoxy quinoline-2-one ligand and its Co, Ni, Cu and Zn complexes as potential inhibitors of Bcl-2, Caspase-3, EGFR, mTOR, and PI3K, cancer-causing proteins",Chemical Physics Impact,,,26670224,8,,2024-06-01,10.1016/j.chphi.2023.100418,0,"[{'name': 'Bannari Amman Institute of Technology', 'city': 'Sathyamangalam', 'country': 'India'}]",Journal,Article,[],https://api.elsevier.com/content/article/eid/1-s2.0-S2667022423002578,2024
1,85171613322,"Stability of bonds, kinetic stability, energy parameters, spectral characterization, GC–MS and molecular descriptors studies on coumarine, 3-[2-(1-methyl-2-imidazolylthio)-1-oxoethyl]",Journal of Molecular Structure,00222860,,,1295,,2024-01-05,10.1016/j.molstruc.2023.136544,0,"[{'name': 'Vels Institute of Science, Technology &amp; Advanced Studies', 'city': 'Chennai', 'country': 'India'}]",Journal,Article,[],https://api.elsevier.com/content/article/eid/1-s2.0-S0022286023016344,2024
2,85152254620,"QSAR Study and Molecular Docking Assisted Design of Novel Cyclohexane-1,3-Dione Derivatives as Anticancer Agents for Non-Small Cell Lung Cancer",Biointerface Research in Applied Chemistry,,,20695837,13,,2023-12-15,10.33263/BRIAC136.524,2,"[{'name': 'Université Sidi Mohamed Ben Abdellah', 'city': 'Fez', 'country': 'Morocco'}]",Journal,Article,[],,2023
3,85173051325,In-silico and in-vitro study reveals ziprasidone as a potential aromatase inhibitor against breast carcinoma,Scientific Reports,,,20452322,13,,2023-12-01,10.1038/s41598-023-43789-1,0,"[{'name': 'National Institute of Pathology', 'city': 'New Delhi', 'country': 'India'}]",Journal,Article,[],,2023
4,85168967187,"Discovery of novel JAK1 inhibitors through combining machine learning, structure-based pharmacophore modeling and bio-evaluation",Journal of Translational Medicine,,,14795876,21,,2023-12-01,10.1186/s12967-023-04443-6,0,"[{'name': ""Xi'an Jiaotong University"", 'city': ""Xi'an"", 'country': 'China'}]",Journal,Article,[],,2023
5,85159947485,DeepAR: a novel deep learning-based hybrid framework for the interpretable prediction of androgen receptor antagonists,Journal of Cheminformatics,,,17582946,15,,2023-12-01,10.1186/s13321-023-00721-z,5,"[{'name': 'Mahidol University', 'city': 'Nakhon Pathom', 'country': 'Thailand'}]",Journal,Article,[],,2023
6,85176772156,Machine learning method aided discovery of the fourth-generation EGFR inhibitors,New Journal of Chemistry,11440546,,13699261,47,21513-21525,2023-11-06,10.1039/d3nj03204c,0,"[{'name': 'Dalian University of Technology', 'city': 'Dalian', 'country': 'China'}]",Journal,Article,[],,2023
7,85177080411,"Ultrasonic-induced synthesis of novel diverse arylidenes via Knoevenagel condensation reaction. Antitumor, QSAR, docking and DFT assessment",RSC Advances,,,20462069,13,29749-29767,2023-10-10,10.1039/d3ra05799b,1,"[{'name': 'College of Science', 'city': 'Cairo', 'country': 'Egypt'}]",Journal,Article,[],,2023
8,85161634237,"Discovery of New 2-Phenylamino-3-acyl-1,4-naphthoquinones as Inhibitors of Cancer Cells Proliferation: Searching for Intra-Cellular Targets Playing a Role in Cancer Cells Survival",Molecules,,,14203049,28,,2023-06-01,10.3390/molecules28114323,1,"[{'name': 'Universidad Arturo Prat', 'city': 'Iquique', 'country': 'Chile'}]",Journal,Article,[],,2023
9,85149817346,"QSAR modeling, molecular docking and molecular dynamic simulation of phosphorus-substituted quinoline derivatives as topoisomerase I inhibitors",Arabian Journal of Chemistry,18785352,,,16,,2023-06-01,10.1016/j.arabjc.2023.104783,1,"[{'name': 'Faculté des Sciences et Techniques de Fès, Université Sidi Mohamed Ben Abdellah', 'city': 'Fez', 'country': 'Morocco'}]",Journal,Article,[],https://api.elsevier.com/content/article/eid/1-s2.0-S1878535223002459,2023
10,85165570941,"One-Pot and Green Synthesis, Anticancer Activity Assessment, and Molecular Docking Study of Novel 2-(4-Oxo-3,4-dihydroquinazolin-2-yl)-N-phenylbenzamides",Russian Journal of Organic Chemistry,10704280,,16083393,59,887-894,2023-05-01,10.1134/S1070428023050196,0,"[{'name': 'Gokaraju Rangaraju Institute of Engineering &amp; Technology', 'city': 'Hyderabad', 'country': 'India'}]",Journal,Article,[],,2023
11,85142152232,Analyzing Indole-fused benzooxazepines as inhibitors of apoptosis pathway-related proteins using multifaceted computational medicinal chemistry,Journal of Molecular Structure,00222860,,,1274,,2023-02-15,10.1016/j.molstruc.2022.134541,2,"[{'name': 'Integral University', 'city': 'Lucknow', 'country': 'India'}]",Journal,Article,[],https://api.elsevier.com/content/article/eid/1-s2.0-S002228602202186X,2023
12,85183776089,Lead drug discovery from imidazolinone derivatives with Aurora kinase inhibitors,Pharmacia,04280296,,,70,1529-1540,2023-01-01,10.3897/PHARMACIA.70.E114935,0,"[{'name': 'SRM Institute of Science and Technology', 'city': 'Kattankulathur', 'country': 'India'}]",Journal,Article,[],,2023
13,85171138300,Exploration of 2D and 3D-QSAR analysis and docking studies for novel dihydropteridone derivatives as promising therapeutic agents targeting glioblastoma,Frontiers in Pharmacology,,,16639812,14,,2023-01-01,10.3389/fphar.2023.1249041,0,"[{'name': 'Shandong University of Traditional Chinese Medicine', 'city': 'Jinan', 'country': 'China'}]",Journal,Article,[],,2023
14,85158138071,"2D, 3D-QSAR study and docking of vascular endothelial growth factor receptor 3 (VEGFR3) inhibitors for potential treatment of retinoblastoma",Frontiers in Pharmacology,,,16639812,14,,2023-01-01,10.3389/fphar.2023.1177282,1,"[{'name': 'Weifang Medical College', 'city': 'Weifang', 'country': 'China'}]",Journal,Article,[],,2023
15,85148093532,LCN2-Fungal siderophore-iron binding and uptake leads to oxidative stress and cell death in hepatocellular carcinoma cell line HepG2,Journal of Biomolecular Structure and Dynamics,07391102,,15380254,41,12714-12733,2023-01-01,10.1080/07391102.2023.2175380,0,"[{'name': 'Central University of South Bihar', 'city': 'Gaya', 'country': 'India'}]",Journal,Article,[],,2023
16,85141001767,"Design and Click Synthesis of Novel 1- Substituted-4-(3,4-Dimethoxyphenyl)-1H-1,2,3-Triazole Hybrids for Anticancer Evaluation and Molecular Docking",Polycyclic Aromatic Compounds,10406638,,15635333,43,7547-7564,2023-01-01,10.1080/10406638.2022.2137205,2,"[{'name': 'National Research Centre', 'city': 'Giza', 'country': 'Egypt'}]",Journal,Article,[],https://api.elsevier.com/content/article/eid/1-s2.0-S1040663823001483,2023
17,85139450557,Exploring the Gallic and Cinnamic Acids Chimeric Derivatives as Anticancer Agents over HeLa Cell Line: An in silico and in vitro Study,Molecular Informatics,18681743,,18681751,42,,2023-01-01,10.1002/minf.202200016,4,"[{'name': 'Universidad Autónoma del Estado de Morelos', 'city': 'Cuernavaca', 'country': 'Mexico'}, {'name': 'Centro de Investigaciones Quimicas', 'city': 'Cuernavaca', 'country': 'Mexico'}]",Journal,Article,[],,2023
18,85139231644,StackPR is a new computational approach for large-scale identification of progesterone receptor antagonists using the stacking strategy,Scientific Reports,,,20452322,12,,2022-12-01,10.1038/s41598-022-20143-5,6,"[{'name': 'Mahidol University', 'city': 'Nakhon Pathom', 'country': 'Thailand'}]",Journal,Article,[],,2022
19,85129325985,"Molecular docking and anticancer evaluation of some newly synthesized 4-aryl-2-(2-oxopropoxy)-6-(cyclohexyl)nicotinonitrile and their furo[2,3-b]pyridine derivatives",Journal of Molecular Structure,00222860,,,1263,,2022-09-05,10.1016/j.molstruc.2022.133148,3,"[{'name': 'National Research Centre', 'city': 'Giza', 'country': 'Egypt'}]",Journal,Article,[],https://api.elsevier.com/content/article/eid/1-s2.0-S0022286022008080,2022
20,85137937981,Repurposing food molecules as a potential BACE1 inhibitor for Alzheimer’s disease,Frontiers in Aging Neuroscience,,,16634365,14,,2022-08-22,10.3389/fnagi.2022.878276,16,"[{'name': 'Novel Global Community Educational Foundation', 'city': 'Hebersham', 'country': 'Australia'}, {'name': 'Ramakrishna Mission Vivekananda Centenary College', 'city': 'Kolkata', 'country': 'India'}]",Journal,Article,[],,2022
21,85140003625,Prediction of the antiproliferative effects of some benzimidazolechalcone derivatives against MCF-7 breast cancer cell lines: QSAR and molecular docking studies,Organic Communications,,,13076175,15,273-287,2022-07-01,10.25135/acg.oc.132.2203.2374,3,"[{'name': 'Adekunle Ajasin University', 'city': 'Akungba-Akoko', 'country': 'Nigeria'}]",Journal,Article,[],,2022
22,85125528147,Evaluation of anticancer activity of N–H/N-Me Aziridine derivatives as a potential poly (ADP-ribose) polymerase 1 inhibitor,Journal of Molecular Structure,00222860,,,1258,,2022-06-15,10.1016/j.molstruc.2022.132689,2,"[{'name': 'Integral University', 'city': 'Lucknow', 'country': 'India'}]",Journal,Article,[],https://api.elsevier.com/content/article/eid/1-s2.0-S0022286022003623,2022
23,85133720388,"One-Pot Pseudo-Five-Component Synthesis of 2,3-Dihydroquinazolin-4(1H)-one Derivatives via [DBU][OAc] as Ionic Liquid, and Their Anti-Cancer Evaluation and Molecular Modelling",Russian Journal of General Chemistry,10703632,,16083350,92,1070-1075,2022-06-01,10.1134/S1070363222060196,1,"[{'name': 'Gokaraju Rangaraju Institute of Engineering &amp; Technology', 'city': 'Hyderabad', 'country': 'India'}]",Journal,Article,[],,2022
24,85131158637,Synthesis of Pyrazole–Oxothiazolidine Hybrids as Potential Anticancer Agents in [Bmim]OH Ionic Liquid Medium,Russian Journal of Organic Chemistry,10704280,,16083393,58,572-579,2022-04-01,10.1134/S1070428022040157,0,"[{'name': 'K L Deemed to be University', 'city': 'Vaddeswaram', 'country': 'India'}]",Journal,Article,[],,2022
25,85127441720,Antimetastatic Potential of Quercetin Analogues with Improved Pharmacokinetic Profile: A Pharmacoinformatic Preliminary Study,Anti-Cancer Agents in Medicinal Chemistry,18715206,,18755992,22,1407-1413,2022-04-01,10.2174/1871520621666210608102452,2,"[{'name': 'Faculty of Medicine, University of Novi Sad', 'city': 'Novi Sad', 'country': 'Serbia'}]",Journal,Article,[],,2022
26,85127407851,In Vitro and In Silico Determination of Some N-ferrocenylmethylaniline Derivatives as Anti-Proliferative agents Against MCF-7 Human Breast Cancer Cell Lines,Anti-Cancer Agents in Medicinal Chemistry,18715206,,18755992,22,1426-1437,2022-04-01,10.2174/1871520621666210624141712,2,"[{'name': 'Université d’Echahid Hamma Lakhdar – El-oued', 'city': 'El Oued Province', 'country': 'Algeria'}]",Journal,Article,[],,2022
27,85090311295,Proposed Multi-linear Regression Model to Identify Cyclooxygenase-2 Selective Active Pharmaceutical Ingredients,Journal of Pharmaceutical Innovation,18725120,,19398042,17,19-25,2022-03-01,10.1007/s12247-020-09482-w,2,"[{'name': 'Baqiyatallah University of Medical Sciences', 'city': 'Tehran', 'country': 'Iran'}]",Journal,Article,[],,2022
28,85119998279,"Synthesis of 1,4-dihydropyrano[2,3-c]pyrazole derivatives and exploring molecular and cytotoxic properties based on DFT and molecular docking studies",Journal of Molecular Structure,00222860,,,1249,,2022-02-05,10.1016/j.molstruc.2021.131555,18,"[{'name': 'King Khalid University', 'city': 'Abha', 'country': 'Saudi Arabia'}]",Journal,Article,[],https://api.elsevier.com/content/article/eid/1-s2.0-S0022286021016835,2022
29,85146696516,"Cyclohexane-1,3-dione Derivatives as Future Therapeutic Agents for NSCLC: QSAR Modeling, In Silico ADME-Tox Properties, and Structure-Based Drug Designing Approach",ACS Omega,,,24701343,,,2022-01-01,10.1021/acsomega.2c07585,10,"[{'name': 'Université Sidi Mohamed Ben Abdellah', 'city': 'Fez', 'country': 'Morocco'}]",Journal,Article,[],,2022
30,85142002689,Virtual Screening and Network Pharmacology-Based Study to Explore the Pharmacological Mechanism of Clerodendrum Species for Anticancer Treatment,Evidence-based Complementary and Alternative Medicine,1741427X,,17414288,2022,,2022-01-01,10.1155/2022/3106363,0,"[{'name': 'Academy of Scientific and Innovative Research (AcSIR)', 'city': 'Ghaziabad', 'country': 'India'}, {'name': 'CSIR-North East Institute of Science and Technology', 'city': 'Jorbat', 'country': 'India'}]",Journal,Article,[],,2022
31,85135829357,"Molecular modelling of antiproliferative inhibitors based on SMILES descriptors using Monte-Carlo method, docking, MD simulations and ADME/Tox studies",Molecular Simulation,08927022,,10290435,48,1575-1591,2022-01-01,10.1080/08927022.2022.2110246,14,"[{'name': 'Faculté des Sciences de Meknès', 'city': 'Meknes', 'country': 'Morocco'}]",Journal,Article,[],,2022
32,85132579734,"Synthesis, Molecular Docking, and 2D-QSAR Modeling of Quinoxaline Derivatives as Potent Anticancer Agents against Triple-Negative Breast Cancer",Current Topics in Medicinal Chemistry,15680266,,18734294,22,855-867,2022-01-01,10.2174/1568026622666220324151808,1,"[{'name': 'Academy of Scientific and Innovative Research (AcSIR)', 'city': 'Ghaziabad', 'country': 'India'}, {'name': 'Central Institute of Medicinal and Aromatic Plants India', 'city': 'Lucknow', 'country': 'India'}]",Journal,Article,[],,2022
